Row 0 is: ['G', 'A', 'PTS', 'SH', 'Shot%', 'SOG', 'SOG%', 'YC-RC', 'GW', 'PK-ATT', 'Min'] 
Row 3 is: ['02/17/2021', 'vs Miami (FL)', '1-1', '1', '2', '4', '26', '0.038', '11', '0.423', '1-0', '0', '0-0', '1210'] 
Row 4 is: ['02/21/2021', 'vs FIU', '3-0', '3', '3', '9', '18', '0.167', '9', '0.500', '0-0', '1', '0-0', '990'] 
Row 5 is: ['02/27/2021', 'vs North Florida', '1-4', '1', '2', '4', '5', '0.200', '3', '0.600', '0-0', '0', '0-0', '990'] 
Row 6 is: ['03/06/2021', 'at Jacksonville', '4-0', '4', '5', '13', '25', '0.160', '13', '0.520', '2-0', '1', '0-0', '990'] 
Row 7 is: ['03/13/2021', 'at North Florida', '0-1', '0', '0', '0', '5', '0.000', '4', '0.800', '2-0', '0', '0-0', '990'] 
Row 8 is: ['03/20/2021', 'vs Stetson', '3-0', '3', '3', '9', '20', '0.150', '10', '0.500', '1-0', '1', '0-0', '990'] 
Row 9 is: ['03/28/2021', 'vs Jacksonville', '2-1', '2', '3', '7', '31', '0.065', '12', '0.387', '1-0', '1', '0-1', '990'] 
Row 10 is: ['04/02/2021', 'at Stetson', '1-0', '1', '0', '2', '8', '0.125', '1', '0.125', '1-0', '1', '0-0', '990'] 
Row 11 is: ['04/10/2021', 'vs Jacksonville', '2-1', '2', '1', '5', '27', '0.074', '15', '0.556', '0-0', '1', '1-1', '990'] 
Row 12 is: ['04/15/2021', 'at Kennesaw St.', '0-1', '0', '0', '0', '16', '0.000', '6', '0.375', '1-0', '0', '0-0', '1148'] 
